,man thing reason t01,god lord written t02,specie thing object t03,good evil action t04,virtue moral reason t05,nature natural man t06,sin sins man t07,end thing intention t08,knowledge thing intellect t09,power reason subject t10,act acts voluntary t11,charity god love t12,greater man greatest t13,body flesh soul t14,punishment death man t15,happiness man perfect t16,passion appetite movement t17,give work alms t18,justice man person t19,love friendship good t20,pleasure desire concupiscence t21,common people good t22,fortitude virtue temperance t23,soul body angel t24,law human divine t25,precept law commandment t26,faith unbelief unbeliever t27,vice pride opposed t28,increase circumstance measure t29,grace god man t30,habit disposition nature t31,merit reward life t32,hope object despair t33,man judge lawful t34,church spiritual bishop t35,gift holy ghost t36,god religion worship t37,honor man great t38,counsel judgment matter t39,religious perfection state t40,child father parent t41,sin mortal venial t42,sorrow pleasure pain t43,prudence art part t43,truth lie false t45,sacrifice offered worship t46,fear evil daring t47,life contemplation active t48,covetousness liberality money t49,word person man t50,anger angry envy t51,thing bound money t52,lust chastity virginity t53,peace glory vainglory t54,vow oath religion t55,prayer pray god t56,prophecy prophet revelation t57,sin original soul t58,man devil sin t59,demon future divination t60
fpsp.q3.a5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058213188737485176,0.3906670539704132,0.0,0.0,0.0,0.0,0.0,0.0,0.3941578142650489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06154158152308883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fpsp.q3.a6,0.0,0.0,0.0,0.0,0.060519071222772676,0.0,0.0,0.0,0.3940664249869173,0.0,0.0,0.0,0.0,0.0,0.0,0.3826909030080566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fpsp.q3.a7,0.0,0.0,0.0,0.0,0.0,0.06583467510231435,0.0,0.0,0.13104930580767335,0.0,0.0,0.0,0.0,0.0,0.0,0.3790323315907935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2788274737951507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fpsp.q3.a8,0.0597141375650018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3273519215030858,0.0,0.0,0.0,0.0,0.0,0.0,0.35879848982386914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19002737691807375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fpsp.q4.a1,0.06272844794337379,0.05585829662212575,0.0,0.0,0.0,0.0,0.0,0.0,0.08139123765636726,0.0,0.0,0.0,0.0,0.0,0.0,0.2358183072094115,0.0,0.0,0.0,0.0,0.3096766422554377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074236738887803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0607224420975544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fpsp.q4.a2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08054189382026977,0.0,0.0,0.0,0.4810314350032345,0.0,0.0,0.0,0.0,0.265646828694083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fpsp.q4.a3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11176018147482954,0.13028297952875176,0.0,0.0,0.0,0.0,0.0,0.0,0.468531255970685,0.0,0.0,0.0,0.10225214495284676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fpsp.q4.a4,0.0,0.0,0.0,0.0,0.0959139864151302,0.0,0.0,0.18525691596479388,0.14606473459356115,0.0,0.08449051712485722,0.0,0.0,0.0,0.0,0.3193326818501397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fpsp.q4.a5,0.06126159818363861,0.0,0.0,0.0,0.0,0.05897734025944215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3317501181025088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3961429962122461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fpsp.q4.a6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1264809176682136,0.0,0.3909789243635072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27288063777847515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
